Website Name,Breach Date,Date Added to HIBP,Compromised Accounts,Compromised Data
Deezer,22 April 2019,2 January 2023,"229,037,936","Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Names, Spoken languages, Usernames"
Demon Forums,20 February 2019,4 April 2019,"52,623","Email addresses, Passwords, Usernames"
Descomplica,14 March 2021,28 April 2021,"4,845,378","Email addresses, Names, Partial credit card data, Passwords, Purchases"
Devil-Torrents.pl,4 January 2021,1 May 2022,"63,451","Email addresses, Passwords"
devkitPro,3 February 2019,11 February 2019,"1,508","Email addresses, Passwords, Private messages"
diet.com,10 August 2014,13 October 2017,"1,383,759","Dates of birth, Eating habits, Email addresses, IP addresses, Names, Passwords, Physical attributes, Usernames"
Digimon,5 September 2016,28 September 2018,"7,687,679","Email addresses, Email messages, IP addresses, Names"
Disqus,1 July 2012,6 October 2017,"17,551,044","Email addresses, Passwords, Usernames"
DivX SubTitles,1 January 2010,14 June 2022,"783,058","Email addresses, Passwords, Usernames"
DLH.net,31 July 2016,7 September 2016,"3,264,710","Dates of birth, Email addresses, Names, Passwords, Usernames, Website activity"
Dodonew.com,1 December 2011,10 November 2016,"8,718,404","Email addresses, Usernames"
Domino's,13 June 2014,4 January 2015,"648,231","Email addresses, Names, Passwords, Phone numbers, Physical addresses"
Domino's India,24 March 2021,3 June 2021,"22,527,655","Email addresses, Names, Phone numbers, Physical addresses, Purchases"
Doomworld,12 October 2022,24 October 2022,"34,478","Email addresses, IP addresses, Passwords, Usernames"
DoorDash,2 August 2022,7 January 2023,"367,476","Email addresses, Geographic locations, Names, Partial credit card data"
Doxbin,5 January 2022,8 January 2022,"370,794","Browser user agent details, Email addresses, Passwords, Usernames"
DriveSure,19 December 2020,10 May 2021,"3,675,099","Email addresses, Names, Passwords, Phone numbers, Physical addresses, Vehicle details"
Drizly,2 July 2020,28 July 2020,"2,479,044","Dates of birth, Device information, Email addresses, IP addresses, Names, Passwords, Phone numbers, Physical addresses"
Dropbox,1 July 2012,31 August 2016,"68,648,009","Email addresses, Passwords"
Dubsmash,1 December 2018,25 February 2019,"161,749,950","Email addresses, Geographic locations, Names, Passwords, Phone numbers, Spoken languages, Usernames"
Ducks Unlimited,29 January 2021,16 November 2021,"1,324,364","Dates of birth, Email addresses, Names, Passwords, Phone numbers, Physical addresses"
Dueling Network,29 March 2017,30 March 2020,"6,486,626","Email addresses, IP addresses, Passwords, Usernames"
Dungeons & Dragons Online,2 April 2013,12 March 2016,"1,580,933","Dates of birth, Email addresses, IP addresses, Passwords, Usernames, Website activity"
Dunzo,19 June 2020,29 July 2020,"3,465,259","Device information, Email addresses, Geographic locations, IP addresses, Names, Phone numbers"
Duowan.com,1 January 2011,7 November 2016,"2,639,894","Email addresses, Passwords, Usernames"
dvd-shop.ch,5 December 2017,10 December 2017,"67,973","Email addresses, Passwords"
Eatigo,16 October 2018,25 August 2021,"2,789,609","Email addresses, Genders, Names, Passwords, Phone numbers, Social media profiles"
EatStreet,3 May 2019,19 July 2019,"6,353,564","Dates of birth, Email addresses, Genders, Names, Partial credit card data, Passwords, Phone numbers, Physical addresses, Social media profiles"
Edmodo,11 May 2017,1 June 2017,"43,423,561","Email addresses, Passwords, Usernames"
Elance,1 January 2009,18 February 2017,"1,291,178","Email addresses, Employers, Geographic locations, Passwords, Phone numbers, Usernames"
Elanic,1 January 2018,4 May 2020,"2,325,283","Email addresses, Geographic locations, Usernames"
Elasticsearch Instance of Sales Leads on AWS,29 October 2018,17 November 2018,"5,788,169","Email addresses, Employers, Names, Physical addresses"
Emotet,27 January 2021,26 April 2021,"4,324,770","Email addresses, Passwords"
Emuparadise,1 April 2018,9 June 2019,"1,131,229","Email addresses, IP addresses, Passwords, Usernames"
E-Pal,15 April 2022,24 October 2022,"108,887","Email addresses, Purchases, Usernames"
Epic Games,11 August 2016,7 November 2016,"251,661","Email addresses, Passwords, Usernames"
EpicBot,1 September 2019,19 November 2019,"816,662","Email addresses, IP addresses, Passwords, Usernames"
EpicNPC,2 January 2016,27 July 2019,"408,795","Email addresses, IP addresses, Passwords, Usernames"
Epik,13 September 2021,19 September 2021,"15,003,961","Email addresses, Names, Phone numbers, Physical addresses, Purchases"
Eroticy,1 June 2015,10 January 2017,"1,370,175","Email addresses, IP addresses, Names, Passwords, Payment histories, Phone numbers, Physical addresses, Usernames, Website activity"
Eskimi,25 September 2020,16 July 2022,"1,197,620","Dates of birth, Email addresses, Genders, Geographic locations, Passwords, Usernames"
Estonian Citizens (via Estonian Cybercrime Bureau),7 June 2018,11 June 2018,"655,161","Email addresses, Passwords"
eThekwini Municipality,7 September 2016,15 September 2016,"81,830","Dates of birth, Deceased date, Email addresses, Genders, Government issued IDs, Names, Passport numbers, Passwords, Phone numbers, Physical addresses, Utility bills"
Ethereum,16 December 2016,20 December 2016,"16,431","Email addresses, IP addresses, Passwords, Private messages, Usernames, Website activity"
europa.jobs,11 August 2019,15 January 2020,"226,095","Dates of birth, Email addresses, Geographic locations, Job applications, Names, Passwords, Phone numbers, Spoken languages"
Evermotion,7 May 2015,2 July 2017,"435,510","Dates of birth, Email addresses, Passwords, Usernames"
Everybody Edits,23 March 2019,3 April 2019,"871,190","Email addresses, IP addresses, Usernames"
Evite,11 August 2013,14 July 2019,"100,985,047","Dates of birth, Email addresses, Genders, Names, Passwords, Phone numbers, Physical addresses"
Evony,1 June 2016,25 March 2017,"29,396,116","Email addresses, IP addresses, Passwords, Usernames"
Exactis,1 June 2018,25 July 2018,"131,577,763","Credit status information, Dates of birth, Education levels, Email addresses, Ethnicities, Family structure, Financial investments, Genders, Home ownership statuses, Income levels, IP addresses, Marital statuses, Names, Net worths, Occupations, Personal interests, Phone numbers, Physical addresses, Religions, Spoken languages"
Experian (2015),16 September 2015,6 September 2016,"7,196,890","Credit status information, Dates of birth, Email addresses, Ethnicities, Family structure, Genders, Home ownership statuses, Income levels, IP addresses, Names, Phone numbers, Physical addresses, Purchasing habits"
Experian (South Africa),19 August 2020,1 September 2020,"1,284,637","Email addresses, Employers, Government issued IDs, Names, Occupations, Phone numbers"
Exploit.In,13 October 2016,6 May 2017,"593,427,119","Email addresses, Passwords"
Exposed VINs,5 June 2017,9 June 2017,"396,650","Dates of birth, Email addresses, Family structure, Genders, Names, Phone numbers, Physical addresses, Vehicle details"
Eye4Fraud,25 January 2023,6 March 2023,"16,000,591","Email addresses, IP addresses, Names, Partial credit card data, Passwords, Phone numbers, Physical addresses"
EyeEm,28 February 2018,16 February 2019,"19,611,022","Bios, Email addresses, Names, Passwords, Usernames"
Facebook,1 August 2019,4 April 2021,"509,458,528","Dates of birth, Email addresses, Employers, Genders, Geographic locations, Names, Phone numbers, Relationship statuses"
Facepunch,3 June 2016,17 October 2018,"342,913","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
FaceUP,1 January 2013,13 January 2019,"87,633","Dates of birth, Email addresses, Genders, Names, Passwords, Phone numbers, Usernames"
Factual,22 March 2017,24 December 2019,"2,461,696","Email addresses, Employers, Phone numbers, Physical addresses"
Famm,8 October 2020,16 July 2022,"535,240","Dates of birth, Email addresses, Genders, Names, Passwords"
Fanpass,30 April 2022,24 May 2022,"112,251","Email addresses, Genders, Names, Partial dates of birth, Passwords, Phone numbers, Physical addresses, Purchases, Social media profiles"
Fantasy Football Hub,2 October 2021,7 October 2021,"66,479","Email addresses, IP addresses, Names, Passwords, Purchases, Usernames"
Fashion Nexus,9 July 2018,31 July 2018,"1,279,263","Browser user agent details, Dates of birth, Email addresses, Genders, IP addresses, Names, Passwords, Phone numbers, Physical addresses, Purchases"
FashionFantasyGame,1 December 2016,20 April 2017,"2,357,872","Email addresses, Passwords"
Filmai.in,1 January 2020,23 February 2021,"645,786","Email addresses, Passwords, Usernames"
Final Fantasy Shrine,18 September 2015,31 October 2015,"620,677","Email addresses, Passwords, Usernames, Website activity"
Flash Flash Revolution (2016 breach),1 February 2016,6 September 2016,"1,771,845","Email addresses, Passwords, Usernames"
Flash Flash Revolution (2019 breach),16 July 2019,21 July 2019,"1,858,124","Dates of birth, Email addresses, IP addresses, Passwords, Usernames"
Flashback,11 February 2015,12 February 2015,"40,256","Email addresses, Government issued IDs, Physical addresses"
FlexBooker,23 December 2021,6 January 2022,"3,756,794","Email addresses, Names, Partial credit card data, Passwords, Phone numbers"
Fling,10 March 2011,28 May 2016,"40,767,652","Dates of birth, Email addresses, Genders, Geographic locations, IP addresses, Passwords, Phone numbers, Sexual fetishes, Sexual orientations, Usernames, Website activity"
Florida Virtual School,12 February 2018,18 March 2018,"542,902","Dates of birth, Email addresses, Names, Passwords, School grades (class levels), Usernames"
Foodora,22 April 2016,16 June 2020,"582,578","Email addresses, Names, Passwords, Phone numbers, Physical addresses"
Forbes,15 February 2014,15 February 2014,"1,057,819","Email addresses, Passwords, User website URLs, Usernames"
ForumCommunity,1 June 2016,5 December 2018,"776,648","Email addresses, Passwords, Usernames"
Fotolog,1 December 2018,15 June 2021,"16,717,854","Email addresses, Passwords, Usernames"
Foxy Bingo,4 April 2008,22 November 2015,"252,216","Account balances, Browser user agent details, Dates of birth, Email addresses, Genders, Names, Passwords, Phone numbers, Physical addresses, Usernames, Website activity"
Freedom Hosting II,31 January 2017,5 February 2017,"380,830","Email addresses, Passwords, Usernames"
FreshMenu,1 July 2016,10 September 2018,"110,355","Device information, Email addresses, Names, Phone numbers, Physical addresses, Purchases"
